patron,drink,executionTime,queueLevel,arrivalTime,serviceStartTime,completionTime,waitingTime,turnaroundTime,responseTime
9,B52,200,0,1779016314467,1779016314470,1779016314676,3,209,3
9,Bloody Mary,70,0,1779016314687,1779016314687,1779016314762,0,75,0
9,White Wine,25,0,1779016314915,1779016314915,1779016314945,0,30,0
9,Draft Beer,50,0,1779016315101,1779016315101,1779016315152,0,51,0
9,Mojito,75,0,1779016315258,1779016315258,1779016315338,0,80,0
9,Mojito,75,0,1779016315453,1779016315453,1779016315531,0,78,0
0,Pina Colada,100,0,1779016334217,1779016334217,1779016334323,0,106,0
0,Mojito,75,0,1779016334447,1779016334447,1779016334524,0,77,0
1,White Wine,25,0,1779016334871,1779016334871,1779016334898,0,27,0
1,Draft Beer,50,0,1779016335053,1779016335053,1779016335106,0,53,0
2,Cosmopolitan,65,0,1779016335780,1779016335780,1779016335850,0,70,0
3,Tequila shot,20,0,1779016335826,1779016335857,1779016335881,31,55,31
4,Gin and Tonic,40,0,1779016335855,1779016335888,1779016335931,33,76,33
2,Draft Beer,50,0,1779016335901,1779016335938,1779016335989,37,88,37
3,Cosmopolitan,65,0,1779016335885,1779016335996,1779016336064,111,179,111
5,Cider,25,0,1779016336039,1779016336072,1779016336102,33,63,33
4,B52,200,0,1779016336046,1779016336110,1779016336315,64,269,64
5,Red Wine,25,0,1779016336205,1779016336322,1779016336352,117,147,117
8,Draft Beer,50,0,1779016336339,1779016336360,1779016336414,21,75,21
6,Cosmopolitan,65,0,1779016336222,1779016336421,1779016336490,199,268,199
3,Margarita,75,0,1779016336118,1779016336497,1779016336577,379,459,379
8,White Wine,25,0,1779016336518,1779016336584,1779016336613,66,95,66
9,Cider,25,0,1779016336549,1779016336620,1779016336649,71,100,71
5,Cosmopolitan,65,0,1779016336507,1779016336657,1779016336727,150,220,150
4,Margarita,75,0,1779016336328,1779016336735,1779016336814,407,486,407
5,Draft Beer,50,0,1779016336783,1779016336821,1779016336875,38,92,38
6,Margarita,75,0,1779016336545,1779016336883,1779016336961,338,416,338
4,Vodka shot,20,0,1779016336900,1779016336968,1779016336989,68,89,68
4,Draft Beer,50,0,1779016336993,1779016336996,1779016337051,3,58,3
5,Cosmopolitan,65,0,1779016336981,1779016337059,1779016337129,78,148,78
3,Mojito,75,0,1779016336663,1779016337136,1779016337217,473,554,473
4,White Wine,25,0,1779016337156,1779016337224,1779016337254,68,98,68
5,Cider,25,0,1779016337182,1779016337261,1779016337288,79,106,79
7,B52,200,0,1779016336245,1779016337295,1779016337500,1050,1255,1050
4,Red Wine,25,0,1779016337409,1779016337508,1779016337534,99,125,99
7,Gin and Tonic,40,0,1779016337513,1779016337541,1779016337584,28,71,28
3,Draft Beer,50,0,1779016337331,1779016337592,1779016337646,261,315,261
8,B52,200,0,1779016336768,1779016337654,1779016337859,886,1091,886
7,White Wine,25,0,1779016337699,1779016337866,1779016337892,167,193,167
4,Draft Beer,50,0,1779016337689,1779016337899,1779016337952,210,263,210
3,Bloody Mary,70,0,1779016337751,1779016337959,1779016338032,208,281,208
8,B52,200,0,1779016337873,1779016338039,1779016338244,166,371,166
7,Mojito,75,0,1779016338047,1779016338251,1779016338330,204,283,204
8,Bloody Mary,70,0,1779016338256,1779016338337,1779016338412,81,156,81
7,Draft Beer,50,0,1779016338444,1779016338445,1779016338500,1,56,1
7,Martini,60,0,1779016338605,1779016338605,1779016338670,0,65,0
0,B52,200,0,1779016355202,1779016355203,1779016355408,1,206,1
0,White Wine,25,0,1779016355421,1779016355437,1779016355468,16,47,16
1,Tequila shot,20,0,1779016355604,1779016355604,1779016355629,0,25,0
0,Vodka shot,20,0,1779016355623,1779016355637,1779016355662,14,39,14
1,Cider,25,0,1779016355633,1779016355669,1779016355699,36,66,36
2,Cosmopolitan,65,0,1779016355704,1779016355706,1779016355774,2,70,2
0,Mojito,75,0,1779016355666,1779016355781,1779016355861,115,195,115
1,Red Wine,25,0,1779016355804,1779016355868,1779016355898,64,94,64
2,Red Wine,25,0,1779016355826,1779016355905,1779016355935,79,109,79
0,Vodka shot,20,0,1779016355976,1779016355977,1779016356000,1,24,1
0,Tequila shot,20,0,1779016356003,1779016356007,1779016356032,4,29,4
0,Draft Beer,50,0,1779016356036,1779016356039,1779016356090,3,54,3
2,Beer,25,0,1779016356090,1779016356096,1779016356126,6,36,6
3,Red Wine,25,0,1779016356141,1779016356141,1779016356171,0,30,0
0,Gin and Tonic,40,0,1779016356195,1779016356195,1779016356240,0,45,0
2,Vodka shot,20,0,1779016356231,1779016356247,1779016356273,16,42,16
2,Gin and Tonic,40,0,1779016356277,1779016356280,1779016356323,3,46,3
3,Mojito,75,0,1779016356326,1779016356330,1779016356406,4,80,4
4,Vodka shot,20,0,1779016356512,1779016356512,1779016356537,0,25,0
4,Vodka shot,20,0,1779016356541,1779016356545,1779016356570,4,29,4
3,Red Wine,25,0,1779016356521,1779016356577,1779016356602,56,81,56
4,Mojito,75,0,1779016356574,1779016356608,1779016356688,34,114,34
3,Bloody Mary,70,0,1779016356758,1779016356758,1779016356831,0,73,0
4,White Wine,25,0,1779016356804,1779016356838,1779016356868,34,64,34
5,Pina Colada,100,0,1779016356907,1779016356907,1779016357008,0,101,0
3,Pina Colada,100,0,1779016356986,1779016357014,1779016357115,28,129,28
4,Beer,25,0,1779016357023,1779016357122,1779016357151,99,128,99
5,Margarita,75,0,1779016357133,1779016357158,1779016357239,25,106,25
7,Martini,60,0,1779016357164,1779016357246,1779016357310,82,146,82
6,B52,200,0,1779016357097,1779016357317,1779016357522,220,425,220
7,White Wine,25,0,1779016357421,1779016357530,1779016357560,109,139,109
5,Martini,60,0,1779016357323,1779016357567,1779016357632,244,309,244
6,Mojito,75,0,1779016357535,1779016357639,1779016357719,104,184,104
7,Cider,25,0,1779016357714,1779016357727,1779016357756,13,42,13
5,Beer,25,0,1779016357748,1779016357764,1779016357792,16,44,16
6,Mojito,75,0,1779016357833,1779016357833,1779016357913,0,80,0
8,Gin and Tonic,40,0,1779016357965,1779016357965,1779016358010,0,45,0
9,Cosmopolitan,65,0,1779016357976,1779016358018,1779016358085,42,109,42
8,Cider,25,0,1779016358126,1779016358126,1779016358155,0,29,0
9,Draft Beer,50,0,1779016358139,1779016358163,1779016358215,24,76,24
8,Draft Beer,50,0,1779016358260,1779016358260,1779016358315,0,55,0
8,B52,200,0,1779016358420,1779016358420,1779016358625,0,205,0
8,Beer,25,0,1779016358638,1779016358638,1779016358669,0,31,0
8,Red Wine,25,0,1779016358770,1779016358770,1779016358797,0,27,0
0,Beer,25,0,1779016375485,1779016375485,1779016375516,0,31,0
0,Draft Beer,50,0,1779016375616,1779016375616,1779016375671,0,55,0
0,Cider,25,0,1779016375777,1779016375777,1779016375805,0,28,0
1,Pina Colada,100,0,1779016375982,1779016375982,1779016376084,0,102,0
1,Mojito,75,0,1779016376210,1779016376210,1779016376289,0,79,0
1,Tequila shot,20,0,1779016376405,1779016376405,1779016376430,0,25,0
1,Vodka shot,20,0,1779016376435,1779016376438,1779016376460,3,25,3
2,Vodka shot,20,0,1779016376971,1779016376971,1779016376994,0,23,0
2,Mojito,75,0,1779016376998,1779016377001,1779016377081,3,83,3
3,Draft Beer,50,0,1779016377025,1779016377089,1779016377140,64,115,64
4,Beer,25,0,1779016377221,1779016377221,1779016377251,0,30,0
3,Martini,60,0,1779016377244,1779016377258,1779016377324,14,80,14
4,Beer,25,0,1779016377357,1779016377357,1779016377387,0,30,0
5,White Wine,25,0,1779016377373,1779016377394,1779016377424,21,51,21
3,Beer,25,0,1779016377439,1779016377440,1779016377470,1,31,1
4,Mojito,75,0,1779016377492,1779016377492,1779016377571,0,79,0
6,Red Wine,25,0,1779016377506,1779016377579,1779016377609,73,103,73
7,Cider,25,0,1779016377588,1779016377617,1779016377646,29,58,29
3,Gin and Tonic,40,0,1779016377575,1779016377654,1779016377696,79,121,79
4,White Wine,25,0,1779016377684,1779016377704,1779016377734,20,50,20
5,Draft Beer,50,0,1779016377579,1779016377742,1779016377796,163,217,163
6,Draft Beer,50,0,1779016377764,1779016377804,1779016377855,40,91,40
3,Pina Colada,100,0,1779016377809,1779016377863,1779016377966,54,157,54
4,Red Wine,25,0,1779016377889,1779016377973,1779016378004,84,115,84
5,Cider,25,0,1779016377898,1779016378010,1779016378040,112,142,112
6,Cider,25,0,1779016377960,1779016378048,1779016378075,88,115,88
8,Cider,25,0,1779016378077,1779016378083,1779016378113,6,36,6
7,B52,200,0,1779016377750,1779016378121,1779016378326,371,576,371
8,Cider,25,0,1779016378214,1779016378334,1779016378360,120,146,120
6,Draft Beer,50,0,1779016378181,1779016378367,1779016378423,186,242,186
9,White Wine,25,0,1779016378394,1779016378430,1779016378460,36,66,36
8,Tequila shot,20,0,1779016378465,1779016378468,1779016378491,3,26,3
8,Draft Beer,50,0,1779016378495,1779016378498,1779016378552,3,57,3
6,Draft Beer,50,0,1779016378528,1779016378559,1779016378614,31,86,31
9,White Wine,25,0,1779016378614,1779016378622,1779016378650,8,36,8
7,Cosmopolitan,65,0,1779016378339,1779016378657,1779016378725,318,386,318
8,Cosmopolitan,65,0,1779016378655,1779016378733,1779016378801,78,146,78
9,Vodka shot,20,0,1779016378805,1779016378808,1779016378833,3,28,3
7,Cider,25,0,1779016378780,1779016378841,1779016378871,61,91,61
9,White Wine,25,0,1779016378838,1779016378879,1779016378906,41,68,41
4,Margarita,75,0,1779016378159,1779016378913,1779016378993,754,834,754
8,Mojito,75,0,1779016378855,1779016379001,1779016379081,146,226,146
4,Gin and Tonic,40,0,1779016379079,1779016379089,1779016379132,10,53,10
6,Pina Colada,100,0,1779016378720,1779016379139,1779016379240,419,520,419
8,Vodka shot,20,0,1779016379197,1779016379248,1779016379269,51,72,51
5,B52,200,0,1779016378145,1779016379276,1779016379481,1131,1336,1131
6,Margarita,75,0,1779016379366,1779016379489,1779016379569,123,203,123
5,Margarita,75,0,1779016379492,1779016379576,1779016379656,84,164,84
5,Red Wine,25,0,1779016379739,1779016379739,1779016379769,0,30,0
0,Beer,25,0,1779016398225,1779016398226,1779016398255,1,30,1
1,Draft Beer,50,0,1779016398339,1779016398339,1779016398393,0,54,0
0,B52,200,0,1779016398361,1779016398401,1779016398603,40,242,40
1,B52,200,0,1779016398499,1779016398611,1779016398815,112,316,112
2,White Wine,25,0,1779016398822,1779016398822,1779016398850,0,28,0
1,Red Wine,25,0,1779016398828,1779016398858,1779016398889,30,61,30
0,Gin and Tonic,40,0,1779016398616,1779016398896,1779016398941,280,325,280
3,Margarita,75,0,1779016398910,1779016398949,1779016399026,39,116,39
2,Beer,25,0,1779016399003,1779016399033,1779016399061,30,58,30
1,Gin and Tonic,40,0,1779016399039,1779016399068,1779016399113,29,74,29
3,Cider,25,0,1779016399109,1779016399121,1779016399149,12,40,12
4,Draft Beer,50,0,1779016399148,1779016399157,1779016399211,9,63,9
2,Tequila shot,20,0,1779016399164,1779016399218,1779016399239,54,75,54
1,Martini,60,0,1779016399225,1779016399246,1779016399308,21,83,21
3,Cider,25,0,1779016399253,1779016399316,1779016399344,63,91,63
2,Bloody Mary,70,0,1779016399243,1779016399351,1779016399425,108,182,108
1,Beer,25,0,1779016399423,1779016399432,1779016399458,9,35,9
